,Keyword,Score
1,president tsai ing-wen,13.060656189688448
2,hong kong-listed company,9.800371872887085
3,china-friendly kuomintang party,9.635668304062087
4,han kuo-yu,8.05
5,golden horse awards,8.008333333333333
6,sydney morning herald,8.0
7,remaining diplomatic allies,8.0
8,self-ruled taiwan,7.943822993150348
9,chinese asylum seeker,7.887254901960784
10,chinese communist party,7.726648841354724
11,chinese-language films,7.39281045751634
12,south china sea,7.328308996702779
13,anti-government protests,6.94927536231884
14,china innovation investment,6.934369602763386
15,taiwan affairs office,6.311455360782714
16,communist party,5.256060606060606
17,democratic process,4.696969696969697
18,hong kong,4.609195402298851
19,kuomintang party,4.6060606060606055
20,aircraft carrier,4.583333333333334
